trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,0,-153.09092222723274,"{0: 10, 1: 0, 2: 8, 3: 0, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-111.43128391377378,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",30,0,-131.51883022073244,"{0: 23, 1: 0, 2: 4, 3: 0, 4: 3}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",30,0,-159.73072361307507,"{0: 21, 1: 0, 2: 6, 3: 0, 4: 3}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,0,-80.89289010694253,"{0: 17, 1: 0, 2: 0, 3: 1, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",25,0,-41.3313032640463,"{0: 20, 1: 0, 2: 4, 3: 1, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",25,0,-60.17508874161577,"{0: 21, 1: 0, 2: 2, 3: 1, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",30,12,-18.06401076014822,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 1}",1
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,0,-41.34222167900561,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",35,13,-64.5294332953394,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 2}",1
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",25,0,4.8548803566063405,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",30,0,22.884240720978926,"{0: 29, 1: 0, 2: 1, 3: 0, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",30,19,5.177065718495761,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,0,-9.20371566375268,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",25,0,-98.30054965966251,"{0: 20, 1: 0, 2: 3, 3: 0, 4: 2}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",35,0,-62.90418013396555,"{0: 32, 1: 0, 2: 0, 3: 1, 4: 2}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",25,9,-2.0392858465809165,"{0: 15, 1: 0, 2: 0, 3: 1, 4: 0}",1
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",20,0,-6.675338940787816,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",25,0,-72.32626359726585,"{0: 21, 1: 0, 2: 2, 3: 0, 4: 2}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,0,-56.96056132942052,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 2}",0
1,True,"{'a': 0, 'e': 0}",30,2,23.555221497510466,"{0: 27, 1: 0, 2: 1, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",20,0,-29.02764844256343,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",1
3,True,"{'a': 0, 'e': 0}",20,0,-41.581693025173244,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
4,True,"{'a': 0, 'e': 0}",25,0,-91.72043274353754,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 3}",0
5,True,"{'a': 0, 'e': 0}",25,0,-76.08725856771203,"{0: 21, 1: 0, 2: 2, 3: 0, 4: 2}",0
6,True,"{'a': 0, 'e': 0}",20,16,5.863268552072715,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",20,0,12.885479039698344,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
8,True,"{'a': 0, 'e': 0}",20,0,17.130590635117155,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
9,True,"{'a': 0, 'e': 0}",20,0,14.859530033850152,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
10,True,"{'a': 0, 'e': 0}",25,0,-95.06815456153308,"{0: 20, 1: 0, 2: 2, 3: 1, 4: 2}",0
