trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.999}",30,0,-141.97582187778664,"{0: 16, 1: 3, 2: 8, 3: 3, 4: 0}",0
2,False,"{'a': 0.5, 'e': 0.998}",20,0,-190.32459506243498,"{0: 8, 1: 2, 2: 5, 3: 3, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.997}",20,0,-81.63878360085204,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.996}",25,0,-154.79015885082828,"{0: 16, 1: 2, 2: 4, 3: 0, 4: 3}",0
5,False,"{'a': 0.5, 'e': 0.995}",20,0,-143.98067512343644,"{0: 10, 1: 2, 2: 5, 3: 1, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.994}",25,0,-54.39242535090548,"{0: 16, 1: 3, 2: 6, 3: 0, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.993}",25,0,-121.45621727183281,"{0: 17, 1: 0, 2: 5, 3: 1, 4: 2}",0
8,False,"{'a': 0.5, 'e': 0.992}",20,0,-135.65844703393168,"{0: 11, 1: 1, 2: 6, 3: 0, 4: 2}",0
9,False,"{'a': 0.5, 'e': 0.991}",25,0,-136.50577621096383,"{0: 14, 1: 4, 2: 5, 3: 0, 4: 2}",0
10,False,"{'a': 0.5, 'e': 0.99}",20,0,-51.479474306079936,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.989}",25,0,-87.02856315643187,"{0: 15, 1: 2, 2: 7, 3: 1, 4: 0}",0
12,False,"{'a': 0.5, 'e': 0.988}",20,13,-18.187516259603907,"{0: 5, 1: 1, 2: 0, 3: 1, 4: 0}",1
13,False,"{'a': 0.5, 'e': 0.987}",20,0,-142.2509840612811,"{0: 11, 1: 1, 2: 5, 3: 1, 4: 2}",0
14,False,"{'a': 0.5, 'e': 0.986}",20,0,-100.54052120344483,"{0: 9, 1: 4, 2: 5, 3: 2, 4: 0}",0
