trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",25,0,-127.03883985303318,"{0: 14, 1: 1, 2: 8, 3: 1, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",30,0,-148.80524105340444,"{0: 20, 1: 3, 2: 4, 3: 0, 4: 3}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,0,-69.808148837565,"{0: 13, 1: 0, 2: 6, 3: 1, 4: 0}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,0,-73.40371901469142,"{0: 13, 1: 1, 2: 4, 3: 2, 4: 0}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",30,0,-144.69714659654977,"{0: 19, 1: 2, 2: 6, 3: 1, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",25,0,-92.06553085774033,"{0: 17, 1: 1, 2: 6, 3: 0, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,0,-120.11294648039103,"{0: 8, 1: 1, 2: 10, 3: 1, 4: 0}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",30,8,-164.07319243058623,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 3}",1
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",25,0,-133.8420342586447,"{0: 13, 1: 2, 2: 8, 3: 1, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",30,0,-254.18992683962122,"{0: 14, 1: 4, 2: 7, 3: 1, 4: 4}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",20,0,-141.61566860441553,"{0: 9, 1: 0, 2: 9, 3: 1, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",25,0,-41.06351023712336,"{0: 17, 1: 4, 2: 4, 3: 0, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,0,-97.36275345101485,"{0: 13, 1: 0, 2: 5, 3: 1, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",25,0,-128.6265757611376,"{0: 17, 1: 2, 2: 3, 3: 1, 4: 2}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,0,-118.59850436261569,"{0: 10, 1: 1, 2: 7, 3: 1, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",30,0,-219.85923010708066,"{0: 19, 1: 0, 2: 5, 3: 2, 4: 4}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,13,-19.548730903611613,"{0: 4, 1: 1, 2: 2, 3: 0, 4: 0}",1
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",20,0,-131.15466379745106,"{0: 9, 1: 0, 2: 9, 3: 1, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,0,-201.84439327407622,"{0: 11, 1: 1, 2: 3, 3: 1, 4: 4}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,0,-205.08650483628574,"{0: 9, 1: 1, 2: 5, 3: 2, 4: 3}",0
1,True,"{'a': 0, 'e': 0}",25,0,-155.05624913581073,"{0: 13, 1: 4, 2: 5, 3: 1, 4: 2}",0
2,True,"{'a': 0, 'e': 0}",20,0,-51.09637644149013,"{0: 13, 1: 0, 2: 7, 3: 0, 4: 0}",0
3,True,"{'a': 0, 'e': 0}",20,0,-33.7151463644879,"{0: 15, 1: 0, 2: 5, 3: 0, 4: 0}",0
4,True,"{'a': 0, 'e': 0}",30,15,-54.06582475227861,"{0: 11, 1: 0, 2: 3, 3: 0, 4: 1}",1
5,True,"{'a': 0, 'e': 0}",30,0,-240.02498664596322,"{0: 14, 1: 1, 2: 11, 3: 1, 4: 3}",0
6,True,"{'a': 0, 'e': 0}",25,0,-114.05235683893449,"{0: 16, 1: 1, 2: 5, 3: 2, 4: 1}",0
7,True,"{'a': 0, 'e': 0}",25,0,-180.77312635002244,"{0: 16, 1: 3, 2: 2, 3: 0, 4: 4}",0
8,True,"{'a': 0, 'e': 0}",25,0,-116.54855750583675,"{0: 16, 1: 5, 2: 1, 3: 1, 4: 2}",0
9,True,"{'a': 0, 'e': 0}",20,0,-111.57318719745388,"{0: 10, 1: 3, 2: 5, 3: 1, 4: 1}",0
10,True,"{'a': 0, 'e': 0}",20,0,-66.82461107503785,"{0: 13, 1: 0, 2: 6, 3: 1, 4: 0}",0
