trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.3, 'e': 0.6499999999999999}",25,0,-109.96388791896757,"{0: 16, 1: 1, 2: 6, 3: 1, 4: 1}",0
2,False,"{'a': 0.3, 'e': 0.5999999999999999}",25,0,-139.51342851647877,"{0: 13, 1: 3, 2: 6, 3: 2, 4: 1}",0
3,False,"{'a': 0.3, 'e': 0.5499999999999998}",20,0,-35.81824365095154,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
4,False,"{'a': 0.3, 'e': 0.49999999999999983}",20,0,-8.091307413961616,"{0: 17, 1: 2, 2: 0, 3: 1, 4: 0}",0
5,False,"{'a': 0.3, 'e': 0.44999999999999984}",30,0,-69.4727155971253,"{0: 25, 1: 1, 2: 2, 3: 0, 4: 2}",0
6,False,"{'a': 0.3, 'e': 0.39999999999999986}",25,0,-79.43174246375689,"{0: 21, 1: 0, 2: 2, 3: 0, 4: 2}",0
7,False,"{'a': 0.3, 'e': 0.34999999999999987}",20,0,-22.444519416282585,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",0
8,False,"{'a': 0.3, 'e': 0.2999999999999999}",20,0,-23.424222744105933,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",0
9,False,"{'a': 0.3, 'e': 0.2499999999999999}",20,0,-0.02983002265833945,"{0: 18, 1: 1, 2: 0, 3: 1, 4: 0}",0
10,False,"{'a': 0.3, 'e': 0.1999999999999999}",25,0,-67.55682406326666,"{0: 19, 1: 2, 2: 2, 3: 1, 4: 1}",0
11,False,"{'a': 0.3, 'e': 0.1499999999999999}",35,0,9.207854887436973,"{0: 32, 1: 1, 2: 1, 3: 1, 4: 0}",0
12,False,"{'a': 0.3, 'e': 0.09999999999999991}",25,0,-53.22982114360386,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 2}",0
13,False,"{'a': 0.3, 'e': 0.049999999999999906}",20,0,-74.63138532335917,"{0: 17, 1: 0, 2: 0, 3: 1, 4: 2}",0
14,False,"{'a': 0.3, 'e': -9.71445146547012e-17}",20,0,3.7260675023150354,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
15,False,"{'a': 0.3, 'e': -0.0500000000000001}",20,0,-43.2506933409131,"{0: 16, 1: 1, 2: 1, 3: 1, 4: 1}",0
16,False,"{'a': 0.3, 'e': -0.1000000000000001}",20,0,-37.13660582046789,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
17,False,"{'a': 0.3, 'e': -0.1500000000000001}",20,0,-9.269512374156083,"{0: 17, 1: 2, 2: 0, 3: 1, 4: 0}",0
18,False,"{'a': 0.3, 'e': -0.20000000000000012}",20,0,17.20772561089316,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
19,False,"{'a': 0.3, 'e': -0.2500000000000001}",20,14,-31.8165442354281,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 1}",1
20,False,"{'a': 0.3, 'e': -0.3000000000000001}",20,0,-4.800288976162447,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
1,True,"{'a': 0, 'e': 0}",30,0,0.8686997153634444,"{0: 26, 1: 1, 2: 3, 3: 0, 4: 0}",0
2,True,"{'a': 0, 'e': 0}",20,0,-79.86626653587953,"{0: 16, 1: 1, 2: 0, 3: 1, 4: 2}",0
3,True,"{'a': 0, 'e': 0}",20,0,-4.687185413736208,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
4,True,"{'a': 0, 'e': 0}",30,0,8.559676774184926,"{0: 28, 1: 0, 2: 1, 3: 1, 4: 0}",0
5,True,"{'a': 0, 'e': 0}",35,0,30.74292165521742,"{0: 34, 1: 0, 2: 0, 3: 1, 4: 0}",0
6,True,"{'a': 0, 'e': 0}",20,10,16.517252462411136,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",20,0,-119.09619782780474,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 3}",0
8,True,"{'a': 0, 'e': 0}",25,0,-11.546299684981365,"{0: 22, 1: 0, 2: 2, 3: 1, 4: 0}",0
9,True,"{'a': 0, 'e': 0}",30,0,27.931439500755133,"{0: 29, 1: 0, 2: 1, 3: 0, 4: 0}",0
10,True,"{'a': 0, 'e': 0}",35,0,-141.20667653783067,"{0: 25, 1: 1, 2: 6, 3: 1, 4: 2}",0
