trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.4, 'e': 0.9995}",20,0,-108.13546870861671,"{0: 11, 1: 0, 2: 8, 3: 0, 4: 1}",0
2,False,"{'a': 0.4, 'e': 0.9990000000000001}",20,0,-110.1782127704845,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 2}",0
3,False,"{'a': 0.4, 'e': 0.9985000000000002}",25,0,-91.11146691237911,"{0: 18, 1: 0, 2: 5, 3: 1, 4: 1}",0
4,False,"{'a': 0.4, 'e': 0.9980000000000002}",30,0,-88.07826852443668,"{0: 24, 1: 0, 2: 4, 3: 0, 4: 2}",0
5,False,"{'a': 0.4, 'e': 0.9975000000000003}",25,10,-29.553407114784722,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 1}",1
6,False,"{'a': 0.4, 'e': 0.9970000000000003}",30,0,-149.91788109695213,"{0: 23, 1: 0, 2: 3, 3: 1, 4: 3}",0
7,False,"{'a': 0.4, 'e': 0.9965000000000004}",20,0,-41.790727302806076,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
8,False,"{'a': 0.4, 'e': 0.9960000000000004}",20,0,10.526150774658303,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
9,False,"{'a': 0.4, 'e': 0.9955000000000005}",25,0,-98.52136041701809,"{0: 19, 1: 0, 2: 4, 3: 0, 4: 2}",0
10,False,"{'a': 0.4, 'e': 0.9950000000000006}",30,0,-39.16677453692423,"{0: 26, 1: 0, 2: 3, 3: 0, 4: 1}",0
11,False,"{'a': 0.4, 'e': 0.9945000000000006}",35,0,-183.60698567427522,"{0: 25, 1: 0, 2: 5, 3: 2, 4: 3}",0
12,False,"{'a': 0.4, 'e': 0.9940000000000007}",25,0,-31.3702483728386,"{0: 23, 1: 0, 2: 0, 3: 1, 4: 1}",1
13,False,"{'a': 0.4, 'e': 0.9935000000000007}",25,0,-134.7121154201094,"{0: 19, 1: 0, 2: 2, 3: 1, 4: 3}",0
14,False,"{'a': 0.4, 'e': 0.9930000000000008}",30,0,-41.943855343050714,"{0: 27, 1: 0, 2: 1, 3: 1, 4: 1}",0
15,False,"{'a': 0.4, 'e': 0.9925000000000008}",25,0,-130.04930738297023,"{0: 19, 1: 0, 2: 3, 3: 0, 4: 3}",0
16,False,"{'a': 0.4, 'e': 0.9920000000000009}",25,0,-28.172517736450427,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",0
17,False,"{'a': 0.4, 'e': 0.9915000000000009}",20,0,3.60906775884596,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
18,False,"{'a': 0.4, 'e': 0.991000000000001}",25,0,-4.177217549665615,"{0: 23, 1: 0, 2: 1, 3: 1, 4: 0}",0
19,False,"{'a': 0.4, 'e': 0.990500000000001}",30,0,-45.65529555112495,"{0: 27, 1: 0, 2: 1, 3: 1, 4: 1}",0
20,False,"{'a': 0.4, 'e': 0.9900000000000011}",20,14,-44.78666021853836,"{0: 4, 1: 0, 2: 1, 3: 0, 4: 1}",1
21,False,"{'a': 0.4, 'e': 0.9895000000000012}",25,12,-4.911939096317534,"{0: 12, 1: 0, 2: 0, 3: 1, 4: 0}",1
22,False,"{'a': 0.4, 'e': 0.9890000000000012}",30,2,9.276387369090337,"{0: 27, 1: 0, 2: 0, 3: 1, 4: 0}",1
23,False,"{'a': 0.4, 'e': 0.9885000000000013}",30,0,-23.77438823079501,"{0: 28, 1: 0, 2: 1, 3: 0, 4: 1}",0
24,False,"{'a': 0.4, 'e': 0.9880000000000013}",30,0,21.978689381600446,"{0: 29, 1: 0, 2: 1, 3: 0, 4: 0}",0
25,False,"{'a': 0.4, 'e': 0.9875000000000014}",20,16,7.726899482883118,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
26,False,"{'a': 0.4, 'e': 0.9870000000000014}",25,0,-26.83845071085655,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",0
27,False,"{'a': 0.4, 'e': 0.9865000000000015}",20,0,-12.453032985861766,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
28,False,"{'a': 0.4, 'e': 0.9860000000000015}",25,0,-118.07632874930124,"{0: 20, 1: 0, 2: 2, 3: 0, 4: 3}",0
29,False,"{'a': 0.4, 'e': 0.9855000000000016}",20,0,-21.39712242437428,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
30,False,"{'a': 0.4, 'e': 0.9850000000000017}",30,0,1.3770612198539105,"{0: 28, 1: 0, 2: 1, 3: 1, 4: 0}",0
31,False,"{'a': 0.4, 'e': 0.9845000000000017}",20,15,-3.1527257094060515,"{0: 4, 1: 0, 2: 1, 3: 0, 4: 0}",1
32,False,"{'a': 0.4, 'e': 0.9840000000000018}",25,0,-63.08257390996289,"{0: 22, 1: 0, 2: 1, 3: 0, 4: 2}",1
33,False,"{'a': 0.4, 'e': 0.9835000000000018}",25,0,-10.934704825981886,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
34,False,"{'a': 0.4, 'e': 0.9830000000000019}",25,0,-63.763676604468856,"{0: 21, 1: 0, 2: 2, 3: 1, 4: 1}",0
35,False,"{'a': 0.4, 'e': 0.9825000000000019}",20,0,-40.85441924088505,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
36,False,"{'a': 0.4, 'e': 0.982000000000002}",20,12,14.183889053499945,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
37,False,"{'a': 0.4, 'e': 0.981500000000002}",20,0,20.03901060442644,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
38,False,"{'a': 0.4, 'e': 0.9810000000000021}",20,0,-29.261164861657548,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
39,False,"{'a': 0.4, 'e': 0.9805000000000021}",20,15,5.038266844232304,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
40,False,"{'a': 0.4, 'e': 0.9800000000000022}",25,5,6.74587331383814,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",1
41,False,"{'a': 0.4, 'e': 0.9795000000000023}",25,0,26.136590430866473,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
42,False,"{'a': 0.4, 'e': 0.9790000000000023}",25,0,11.816462156857286,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
43,False,"{'a': 0.4, 'e': 0.9785000000000024}",20,0,25.99025514542574,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
44,False,"{'a': 0.4, 'e': 0.9780000000000024}",20,5,-16.478272649012556,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 1}",1
45,False,"{'a': 0.4, 'e': 0.9775000000000025}",20,0,-16.15616718220731,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
46,False,"{'a': 0.4, 'e': 0.9770000000000025}",35,0,-5.29101266684418,"{0: 34, 1: 0, 2: 0, 3: 0, 4: 1}",0
47,False,"{'a': 0.4, 'e': 0.9765000000000026}",20,0,-48.34858376805492,"{0: 17, 1: 0, 2: 1, 3: 1, 4: 1}",0
48,False,"{'a': 0.4, 'e': 0.9760000000000026}",25,0,-81.00856396981305,"{0: 22, 1: 0, 2: 0, 3: 1, 4: 2}",0
49,False,"{'a': 0.4, 'e': 0.9755000000000027}",25,0,-10.795451329005202,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
50,False,"{'a': 0.4, 'e': 0.9750000000000028}",25,0,21.577759560910174,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
51,False,"{'a': 0.4, 'e': 0.9745000000000028}",30,0,-56.805124216523325,"{0: 27, 1: 0, 2: 1, 3: 0, 4: 2}",0
52,False,"{'a': 0.4, 'e': 0.9740000000000029}",20,0,4.924394679409122,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
53,False,"{'a': 0.4, 'e': 0.9735000000000029}",25,0,35.59839521730706,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
54,False,"{'a': 0.4, 'e': 0.973000000000003}",30,0,-2.7155086574810223,"{0: 29, 1: 0, 2: 0, 3: 0, 4: 1}",0
55,False,"{'a': 0.4, 'e': 0.972500000000003}",20,0,-30.76082282526071,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
56,False,"{'a': 0.4, 'e': 0.9720000000000031}",20,0,0.686415164458601,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
57,False,"{'a': 0.4, 'e': 0.9715000000000031}",30,0,37.41547785404715,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
58,False,"{'a': 0.4, 'e': 0.9710000000000032}",20,15,-4.790136811417117,"{0: 4, 1: 0, 2: 1, 3: 0, 4: 0}",1
59,False,"{'a': 0.4, 'e': 0.9705000000000032}",20,0,28.490891019163406,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
60,False,"{'a': 0.4, 'e': 0.9700000000000033}",25,0,-41.91052151753109,"{0: 22, 1: 0, 2: 1, 3: 1, 4: 1}",0
61,False,"{'a': 0.4, 'e': 0.9695000000000034}",20,0,-38.84363737971727,"{0: 18, 1: 0, 2: 0, 3: 1, 4: 1}",0
62,False,"{'a': 0.4, 'e': 0.9690000000000034}",30,17,6.424842499843394,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
63,False,"{'a': 0.4, 'e': 0.9685000000000035}",35,0,39.6003645280379,"{0: 35, 1: 0, 2: 0, 3: 0, 4: 0}",0
64,False,"{'a': 0.4, 'e': 0.9680000000000035}",20,0,10.858095719137612,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
65,False,"{'a': 0.4, 'e': 0.9675000000000036}",25,0,29.145140715722043,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
66,False,"{'a': 0.4, 'e': 0.9670000000000036}",20,0,20.455658745655178,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
67,False,"{'a': 0.4, 'e': 0.9665000000000037}",20,0,4.605157870092635,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
68,False,"{'a': 0.4, 'e': 0.9660000000000037}",25,0,28.364086615948665,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
69,False,"{'a': 0.4, 'e': 0.9655000000000038}",25,7,21.28422598667904,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
70,False,"{'a': 0.4, 'e': 0.9650000000000039}",20,0,20.527092131962572,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
71,False,"{'a': 0.4, 'e': 0.9645000000000039}",25,18,-9.266208134940227,"{0: 6, 1: 0, 2: 0, 3: 1, 4: 0}",1
72,False,"{'a': 0.4, 'e': 0.964000000000004}",30,0,3.8063242139810414,"{0: 29, 1: 0, 2: 0, 3: 1, 4: 0}",0
73,False,"{'a': 0.4, 'e': 0.963500000000004}",20,11,17.166184061657972,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
